,gender,birth,marriage,religion,income,code_job,code_region
0,2.0,1945.0,2.0,1.0,,,1.0
1,1.0,1948.0,2.0,2.0,,,1.0
2,1.0,1942.0,3.0,1.0,107.0,762.0,1.0
3,1.0,1962.0,1.0,1.0,192.0,855.0,1.0
4,2.0,1963.0,1.0,1.0,,,1.0
5,2.0,2003.0,0.0,1.0,,,1.0
6,1.0,1927.0,1.0,1.0,,,1.0
7,2.0,1934.0,1.0,1.0,27.0,941.0,1.0
8,2.0,1940.0,2.0,1.0,27.0,999.0,2.0
9,2.0,1970.0,3.0,1.0,,,1.0
10,2.0,1992.0,5.0,1.0,,,1.0
11,1.0,1940.0,1.0,2.0,,,1.0
12,2.0,1941.0,1.0,2.0,,,1.0
13,1.0,1962.0,5.0,1.0,,,1.0
14,1.0,1978.0,1.0,2.0,338.0,312.0,1.0
15,2.0,1975.0,1.0,2.0,200.0,254.0,1.0
16,2.0,2004.0,0.0,2.0,,,1.0
17,2.0,2008.0,0.0,2.0,,,1.0
18,1.0,1941.0,1.0,1.0,,,1.0
19,2.0,1942.0,1.0,1.0,110.0,510.0,1.0
20,1.0,1964.0,5.0,2.0,,,1.0
21,2.0,1940.0,2.0,2.0,,,1.0
22,1.0,1975.0,5.0,1.0,,521.0,1.0
23,1.0,1978.0,1.0,2.0,,151.0,1.0
24,2.0,1982.0,1.0,2.0,,521.0,1.0
25,2.0,1961.0,1.0,1.0,113.0,951.0,1.0
26,1.0,1961.0,1.0,2.0,315.0,783.0,1.0
27,2.0,1986.0,5.0,2.0,200.0,399.0,1.0
28,2.0,1962.0,1.0,1.0,148.0,941.0,1.0
29,2.0,1985.0,4.0,2.0,158.0,313.0,1.0
30,1.0,1992.0,5.0,2.0,238.0,442.0,1.0
31,1.0,1952.0,1.0,2.0,156.0,910.0,1.0
32,2.0,1961.0,3.0,1.0,,951.0,1.0
33,2.0,1982.0,1.0,2.0,,531.0,1.0
34,1.0,1984.0,1.0,2.0,,531.0,1.0
35,1.0,1971.0,5.0,2.0,,873.0,7.0
36,1.0,1943.0,2.0,2.0,,,1.0
37,2.0,1945.0,2.0,2.0,,,1.0
38,1.0,1975.0,5.0,2.0,,,1.0
39,1.0,1972.0,1.0,1.0,,,1.0
40,2.0,1974.0,1.0,1.0,583.0,320.0,1.0
41,2.0,2006.0,0.0,1.0,,,1.0
42,2.0,2006.0,0.0,1.0,,,1.0
43,1.0,1980.0,5.0,2.0,239.0,442.0,1.0
44,2.0,1954.0,3.0,2.0,250.0,421.0,1.0
45,2.0,1941.0,2.0,1.0,,,1.0
46,1.0,1972.0,1.0,2.0,258.0,313.0,1.0
47,2.0,1973.0,1.0,2.0,,,1.0
48,1.0,2004.0,0.0,2.0,,,1.0
49,1.0,1926.0,1.0,2.0,,,1.0
50,2.0,1936.0,1.0,2.0,,,1.0
51,1.0,1968.0,5.0,2.0,219.0,842.0,1.0
52,2.0,1940.0,2.0,2.0,,,1.0
53,2.0,1982.0,1.0,1.0,,,2.0
54,1.0,1976.0,1.0,1.0,260.0,873.0,2.0
55,1.0,2010.0,0.0,1.0,,,2.0
56,2.0,2012.0,0.0,1.0,,,2.0
57,2.0,1937.0,3.0,1.0,,,1.0
58,2.0,1972.0,5.0,2.0,238.0,313.0,1.0
59,2.0,1942.0,2.0,2.0,,,1.0
60,1.0,1973.0,1.0,2.0,278.0,510.0,1.0
61,2.0,1974.0,1.0,2.0,,,1.0
62,2.0,2009.0,0.0,2.0,,,1.0
63,1.0,1959.0,1.0,2.0,228.0,852.0,1.0
64,2.0,1967.0,1.0,2.0,80.0,930.0,1.0
65,2.0,1995.0,5.0,2.0,,,1.0
66,2.0,1998.0,5.0,2.0,190.0,521.0,1.0
67,1.0,1955.0,1.0,2.0,115.0,991.0,1.0
68,2.0,1958.0,1.0,2.0,,,1.0
69,1.0,1982.0,5.0,2.0,240.0,521.0,1.0
70,1.0,1968.0,1.0,1.0,1017.0,312.0,1.0
71,2.0,1970.0,1.0,1.0,,,1.0
72,1.0,1994.0,5.0,1.0,,930.0,1.0
73,1.0,1999.0,5.0,1.0,,,1.0
74,1.0,1973.0,1.0,1.0,750.0,312.0,1.0
75,2.0,1975.0,1.0,1.0,,,1.0
76,1.0,2004.0,0.0,1.0,,,1.0
77,2.0,2007.0,0.0,1.0,,,1.0
78,1.0,1950.0,1.0,1.0,,991.0,5.0
79,2.0,1956.0,1.0,1.0,140.0,941.0,5.0
80,1.0,1930.0,1.0,2.0,,,1.0
81,2.0,1938.0,1.0,2.0,,,1.0
82,2.0,1962.0,2.0,1.0,100.0,422.0,1.0
83,2.0,1991.0,5.0,1.0,150.0,422.0,1.0
84,2.0,1959.0,2.0,1.0,,,1.0
85,2.0,1989.0,5.0,1.0,205.0,285.0,1.0
86,2.0,1995.0,5.0,1.0,200.0,399.0,1.0
87,2.0,1997.0,5.0,1.0,,521.0,1.0
88,2.0,1982.0,5.0,2.0,212.0,921.0,5.0
89,2.0,1985.0,5.0,2.0,272.0,441.0,5.0
90,2.0,1957.0,4.0,2.0,,921.0,5.0
91,2.0,1955.0,4.0,2.0,,,5.0
92,1.0,1975.0,5.0,2.0,528.0,761.0,5.0
93,1.0,1947.0,1.0,1.0,188.0,851.0,1.0
94,2.0,1956.0,1.0,1.0,,,1.0
95,1.0,1980.0,5.0,1.0,674.0,235.0,1.0
96,1.0,1954.0,1.0,1.0,,,1.0
97,2.0,1960.0,1.0,1.0,,,1.0
98,1.0,1978.0,5.0,1.0,466.0,312.0,1.0
99,2.0,1983.0,5.0,1.0,230.0,442.0,1.0
100,1.0,1981.0,5.0,1.0,,442.0,1.0
101,2.0,1946.0,2.0,2.0,,,1.0
102,1.0,1965.0,1.0,1.0,,721.0,1.0
103,2.0,1968.0,1.0,1.0,,721.0,1.0
104,2.0,1998.0,5.0,1.0,,,1.0
105,2.0,2001.0,0.0,1.0,,,1.0
106,1.0,1958.0,1.0,1.0,310.0,772.0,1.0
107,2.0,1959.0,1.0,1.0,,,1.0
108,1.0,1988.0,5.0,1.0,179.0,930.0,1.0
109,1.0,1991.0,5.0,2.0,220.0,921.0,1.0
110,2.0,1985.0,1.0,2.0,,,6.0
111,1.0,1979.0,1.0,2.0,264.0,742.0,6.0
112,1.0,1960.0,1.0,1.0,220.0,941.0,1.0
113,2.0,1960.0,1.0,1.0,90.0,941.0,1.0
114,2.0,1989.0,5.0,2.0,,,1.0
115,1.0,1987.0,1.0,1.0,277.0,863.0,2.0
116,2.0,1986.0,1.0,1.0,,,2.0
